NSX, Description, New Price, Discount percent, Old Price, 
Itoh Kanpo, [HSD 05/2024] Nước Uống Bổ Sung Collagen Naris ITOH 50ml/10 Lọ, 825.000 ₫, 22%, 1.056.000 ₫, 
Welson Beauty, Nước Uống Welson Linh Chi Hồng Sâm 100ml/1 Chai, 19.000 ₫, 58%, 45.000 ₫, 
DHC, Viên Uống DHC Bổ Sung Vitamin C Gói 60 Viên 30 Ngày, 79.000 ₫, 17%, 95.000 ₫, 
Elasten, Nước Uống Collagen Elasten Thủy Phân 28 Ống x 25ml, 2.000.000 ₫, 20%, 2.500.000 ₫, 
DHC, Viên Uống DHC Zinc Bổ Sung Kẽm Gói 30 Viên (30 Ngày), 89.000 ₫, 19%, 110.000 ₫, 
Blackmores, Viên Uống Blackmores Tinh Dầu Hoa Anh Thảo 190 Viên, 729.000 ₫, 26%, 986.944 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Nghệ Collagen 50mlx10, 416.000 ₫, 22%, 530.000 ₫, 
DHC, Viên Uống DHC Rau Củ Quả Tổng Hợp Premium 120 Viên 30 Ngày, 209.000 ₫, 21%, 265.000 ₫, 
Itoh Kanpo, Nước Uống Naris Itoh Bổ Sung Collagen (50mlx10 Chai), 1.216.000 ₫, 26%, 1.650.000 ₫, 
DHC, Viên Uống DHC Biotin Ngăn Rụng Tóc Gói 30 Viên 30 Ngày, 119.000 ₫, 26%, 160.000 ₫, 
DHC, Viên Uống DHC Chiết Xuất Ý Dĩ Làm Sáng Da Gói 30 Viên 30 Ngày, 185.000 ₫, 24%, 245.000 ₫, 
DHC, Viên Uống DHC Bổ Sung Vitamin C Gói 180 Viên 90 Ngày, 199.000 ₫, 20%, 250.000 ₫, 
Nucos, Viên Uống Nucos Sáng Da, 535.000 ₫, 10%, 595.000 ₫, 
Gilaa, Bột Uống Collagen Gilaa Kết Hợp Saffron 2gx60 Gói, 435.000 ₫, 38%, 700.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Thảo Dược 50mlx10, 451.000 ₫, 51%, 920.000 ₫, 
DHC, Viên Uống Collagen DHC (New) Đẹp Da Gói 540 Viên 90 Ngày, 530.000 ₫, 29%, 750.000 ₫, 
MENARD, Nước Uống Collagen Nội Sinh Menard Collagen Gold 30mlx10chai, 660.000 ₫, 45%, 1.200.000 ₫, 
